Year,MarketType,MarketName - Location - Host,MarketOperator,StreetNumber,StreetDirection,StreetName,StreetType,MergedAddress,MarketDirection,Website,Day,Open,Close,Months,NumberOfVendors,Offerings
2016,Community Food Market,Kitsilano Neighbourhood House,Westside Community Food Markets,2305,W,7,Av,2305 West 7th,Corner of West 7th Ave & Vine Street,http://www.kitshouse.org/programs/community-programs/westside-community-food-markets/,,,,,,
2016,Community Food Market,Gordon Neighbourhood House,Greater Vancouver Food Bank (Curbside Fresh),,,,,,,,Tuesday,3:00 PM,6:00 PM,May 3 - Oct. 25,,
2016,Community Food Market,Mt Pleasant Neighbourhood House,Greater Vancouver Food Bank (Curbside Fresh),,,,,,,,Wednesday,3:00 PM,6:00 PM,May 4-Oct. 26,,
2016,Community Food Market,Collingwood Neighbourhood House,Greater Vancouver Food Bank (Curbside Fresh),,,,,,,,Thursday,3:00 PM,6:00 PM,May 5-Oct. 27,,
2016,Community Food Market,Mt Pleasant Community Centre,Greater Vancouver Food Bank (Curbside Fresh),,,,,,,,Friday,3:00 PM,6:00 PM,May-October,,
2016,Community Food Market,South Granville Senior's Centre,Greater Vancouver Food Bank (Curbside Fresh),1420,W,12th,Ave,"1420 W. 12th, Ave, Vancouver, BC",Granville / Hemlock and 12th,,Wednesday,11:00 AM,2:00 PM,May 4-Oct. 26,,
2016,Farmers Market,Il Centro - Italian Market,Italian Cultural Centre,,,,,3075 Slocan St,,,"June 17, July 15, Aug 19, Nov 25",3:00 PM,7:00 PM,June - Nov,,
2016,Farmers Market,Hastings Park,Vancouver Farmers Markets,,,Renfrew,St,Renfrew St,Hastings Skatepark,eatlocal.org,Sunday,10:00 AM,2:00 PM,Nov - Apr,33,"produce, meat, seafood, cheese, organics, prepared foods"
2016,Farmers Market,Kitsilano Farmers Market,Vancouver Farmers Markets,2690,,Larch,St,2690 Larch St,Parking lot of Kits Community Centre,eatlocal.org,Sunday,10:00 AM,2:00 PM,May - Oct,51,"produce, meat, seafood, cheese, organics, prepared foods"
2016,Farmers Market,Main St Station Farmers Market,Vancouver Farmers Markets,1100,,Station,St,1100 Station St,Next to Thorton Park,eatlocal.org,Wednesday,2:00 PM,6:00 PM,Jun - Oct,28,"produce, meat, seafood, cheese, organics, prepared foods"
2016,Farmers Market,Mount Pleasant Market,Vancouver Farmers Markets,2300,,Guelph,St,2300 Guelph St,Mount Pleasant School,eatlocal.org,Sunday,10:00 AM,2:00 PM,Jun - Oct,25,"produce, meat, seafood, cheese, organics, prepared foods"
2016,Farmers Market,River District Farmers Market,River District,8683,,Kerr,St,8683 Kerr St,"Kerr Street, near the pier",http://www.riverdistrict.ca,Saturday,10:00 AM,3:00 PM,May - Oct,77,"produce, meat, seafood, cheese, organics, prepared foods"
2016,Farmers Market,Trout Lake Farmers Market,Vancouver Farmers Markets,,,,,,Lakewood Dr & E 13th Ave,eatlocal.org,Saturday,9:00 AM,2:00 PM,May - Oct,61,"produce, meat, seafood, cheese, organics, prepared foods"
2016,Farmers Market,QE Theatre Farmers Market,Vancouver Farmers Markets,,,,,,,eatlocal.org,Thursday,2:00 PM,6:00 PM,May - Oct,33,"produce, meat, seafood, cheese, organics, prepared foods"
2016,Farmers Market,West End Farmers Market,Vancouver Farmers Markets,1100,,Comox,St,1100 Comox St,Adjacent to 1100 Block of Comox Street,eatlocal.org,Saturday,9:00 AM,2:00 PM,May - Oct,33,"produce, meat, seafood, cheese, organics, prepared foods"
2016,Farmers Market,Winter Farmers Market,Vancouver Farmers Markets,4601,,Ontario,St,4601 Ontario St,Parking lot of Nat Bailey Stadium,eatlocal.org,Saturday,10:00 AM,2:00 PM,Nov - Apr,77,"produce, meat, seafood, cheese, organics, prepared foods"
2016,Community Food Market,Alternates between 4 locations,Cedar Cottage,,,,,,,http://cedarcottagefoodnetwork.wordpress.com/,Saturday,10am (or 10:30am),12pm (or 12:30pm),,,
2016,Community Food Market,Alternates between 4 locations,Cedar Cottage,,,,,,,http://cedarcottagefoodnetwork.wordpress.com/,Saturday,2:00 PM,4:00 PM,,,
2016,Community Food Market,"Marpole, St. Augustine's Church",Green Zebra Market,8680,,Hudson,St,8680 Hudson St,St. Augustine's Church,greenzebramarkets.blogspot.ca,Wednesday,3:00 PM,7:00 PM,,,
2015,Farmers Market,Hastings Park,Vancouver Farmers Markets,,,Renfrew,St,Renfrew St,Hastings Skatepark,eatlocal.org,Sunday,10:00 AM,2:00 PM,Mar- Apr,33,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Holiday Market,Vancouver Farmers Markets,3250,,Commercial,Dr,3250 Commercial Dr,,eatlocal.org,Saturday,10:00 AM,4:00 PM,12-Dec,70,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Kerrisdale Village Farmers Market,Vancouver Farmers Markets,5500,E,East Blvd,Blvd,5500 East Blvd,5500 Block of East Blvd,eatlocal.org,Saturday,10:00 AM,2:00 PM,Jun - Oct,16,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Kitsilano Farmers Market,Vancouver Farmers Markets,2690,,Larch,St,2690 Larch St,Parking lot of Kits Community Centre,eatlocal.org,Sunday,10:00 AM,2:00 PM,May - Oct,51,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Main St Station Farmers Market,Vancouver Farmers Markets,1100,,Station,St,1100 Station St,Next to Thorton Park,eatlocal.org,Wednesday,2:00 PM,6:00 PM,Jun - Oct,28,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Mount Pleasant Market,Vancouver Farmers Markets,2300,,Guelph,St,2300 Guelph St,Mount Pleasant School,eatlocal.org,Sunday,10:00 AM,2:00 PM,Jun - Oct,25,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Oak Street Farmers Market,Unitarian Church,,,,,,,,Wednesday,3:00 PM,7:00 PM,Jun - Oct,,
2015,Farmers Market,River District Farmers Market,River District,8683,,Kerr,St,8683 Kerr St,"Kerr Street, near the pier",http://www.riverdistrict.ca,Saturday,10:00 AM,3:00 PM,May - Oct,77,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Trout Lake Farmers Market,Vancouver Farmers Markets,,,,,,Lakewood Dr & E 13th Ave,eatlocal.org,Saturday,9:00 AM,2:00 PM,May - Oct,61,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Yaletown Farmers Market,Vancouver Farmers Markets,1100,,Mainland,St,1100 Mainland St,Between Davie and Helmecken,eatlocal.org,Thursday,2:00 PM,6:00 PM,May - Oct,33,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,West End Farmers Market,Vancouver Farmers Markets,1100,,Comox,St,1100 Comox St,Adjacent to 1100 Block of Comox Street,eatlocal.org,Saturday,9:00 AM,2:00 PM,May - Oct,33,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Winter Farmers Market,Vancouver Farmers Markets,4601,,Ontario,St,4601 Ontario St,Parking lot of Nat Bailey Stadium,eatlocal.org,Saturday,10:00 AM,2:00 PM,Nov - Apr,77,"produce, meat, seafood, cheese, organics, prepared foods"
2015,Farmers Market,Italian Market,Italian Cultural Centre,,,,,3075 Slocan St,,,Third Friday of Every month,3:00 PM,7:00 PM,May- Nov,,
2015,Community Food Market,Kitsilano Neighbourhood House,Westside Community Food Markets,2305,W,7,Av,2305 West 7th,Corner of West 7th Ave & Vine Street,http://www.kitshouse.org/programs/community-programs/westside-community-food-markets/,Thursday,3:00 PM,7:00 PM,Jul - Sep,,
2015,Community Food Market,Good Foods Market,Fresh Roots,3075,,Slocan,St,"3075 Slocan St, Vancouver, BC",just south of Grandview hwy,http://freshroots.ca/food/good-food-markets/,Wednesday,5:00 PM,630pm,May - Nov,,
2015,Community Food Market,Skeena Terrace,Greater Vancouver Food Bank (Curbside Fresh),,,,,,,,Mondays,2:00 PM,6:00 PM,,,
2015,Community Food Market,Gordon Neighbourhood House,Greater Vancouver Food Bank (Curbside Fresh),,,,,,,,Tuesdays,1:30 PM,5:30 PM,,,
2015,Community Food Market,Mt Pleasant Neighbourhood House,Greater Vancouver Food Bank (Curbside Fresh),,,,,,,,Wednesday,2:00 PM,6:00 PM,,,
