City,Organization Name,Payment Amount,Grant Type,Grant Sector
100 Mile House,100 Mile & District Minor Hockey Association,39000,Community Gaming Grant,Sport
100 Mile House,100 Mile House and District Soccer Association,10000,Community Gaming Grant,Sport
100 Mile House,100 Mile House Wranglers Junior B Hockey Club,15000,Community Gaming Grant,Sport
Abbotsford,Abbotsford Agrifair,80000,Community Gaming Grant,Arts and Culture
Abbotsford,Abbotsford Angels Hardball Association,44000,Community Gaming Grant,Sport
Abbotsford,Abbotsford Arts Council,31350,Community Gaming Grant,Arts and Culture
Abbotsford,Abbotsford BMX Society,29500,Community Gaming Grant,Sport
Abbotsford,Abbotsford Curling Club,6950,Community Gaming Grant,Sport
Abbotsford,Abbotsford Female Hockey Association,26000,Community Gaming Grant,Sport
Abbotsford,Abbotsford Judo Club,25000,Community Gaming Grant,Sport
Abbotsford,Abbotsford Minor Fastball Association,26200,Community Gaming Grant,Sport
Abbotsford,Abbotsford Minor Hockey Association,100000,Community Gaming Grant,Sport
Abbotsford,Abbotsford Rugby Football Club Society,15500,Community Gaming Grant,Sport
Abbotsford,Abbotsford Skating Club,50000,Community Gaming Grant,Sport
Abbotsford,Abbotsford Skating Club,50000,Community Gaming Grant,Sport
Abbotsford,Abbotsford Soccer Association,100000,Community Gaming Grant,Sport
Abbotsford,Abbotsford United Sports Club,35000,Community Gaming Grant,Sport
Abbotsford,Gallery 7 Theatre and Performing Arts Society,55000,Community Gaming Grant,Arts and Culture
Abbotsford,Heritage Abbotsford Society,42000,Community Gaming Grant,Arts and Culture
Abbotsford,Matsqui Blades Speed Skating Association,2750,Community Gaming Grant,Sport
Abbotsford,Special Olympics British Columbia Society - Abbotsford,28500,Community Gaming Grant,Sport
Abbotsford,Twisters Gymnastics Club,60000,Community Gaming Grant,Sport
Agassiz,Agassiz Agricultural & Horticultural Association,5200,Community Gaming Grant,Arts and Culture
Agassiz,Agassiz Harrison Historical Society,7000,Community Gaming Grant,Arts and Culture
Agassiz,Sasquatch Mountain Ski Club,7000,Community Gaming Grant,Sport
Aldergrove,Aldergrove Agricultural Fair and Festival Association,15000,Community Gaming Grant,Arts and Culture
Aldergrove,Aldergrove Figure Skating Club,30000,Community Gaming Grant,Sport
Aldergrove,Aldergrove Minor Hockey Association,61600,Community Gaming Grant,Sport
Aldergrove,Aldergrove Sea Monkeys Summer Swim Club,15000,Community Gaming Grant,Sport
Aldergrove,Aldergrove Soccer Society,25000,Community Gaming Grant,Sport
Aldergrove,Horse Council of British Columbia,61000,Community Gaming Grant,Sport
