FISCAL_YEAR,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_50TH,PERCENTILE_90TH
2009/2010,All Health Authorities,All Facilities,Abdominoplasty,55,100,9.1,42.6
2009/2010,All Health Authorities,All Facilities,All Other Procedures,7044,26323,4,18.1
2009/2010,All Health Authorities,All Facilities,All Procedures,71705,212456,5.3,24.6
2009/2010,All Health Authorities,All Facilities,Aortic Aneurysm Repair,90,294,4.1,14.8
2009/2010,All Health Authorities,All Facilities,Bariatric Surgery,527,203,16.4,151.7
2009/2010,All Health Authorities,All Facilities,Biopsy in OR,756,3183,3,15
2009/2010,All Health Authorities,All Facilities,Bladder Surgery,1795,5638,4.6,24.4
2009/2010,All Health Authorities,All Facilities,Bowel Resection,387,2672,2.6,9.9
2009/2010,All Health Authorities,All Facilities,Breast Biopsy,235,2529,2.4,6.4
2009/2010,All Health Authorities,All Facilities,Breast Reconstruction,419,997,6,32
2009/2010,All Health Authorities,All Facilities,Breast Reduction,1449,1729,14.1,46
2009/2010,All Health Authorities,All Facilities,Cataract Surgery,12949,47181,6.7,25.1
2009/2010,All Health Authorities,All Facilities,Cholecystectomy,1653,5679,5,19.3
2009/2010,All Health Authorities,All Facilities,Colostomy/Ileostomy,183,644,4.9,19.1
2009/2010,All Health Authorities,All Facilities,Cone Biopsy,79,653,3,9.1
2009/2010,All Health Authorities,All Facilities,Cranial Surgery,67,729,1.1,7.2
2009/2010,All Health Authorities,All Facilities,Cyst/Ganglion Removal,312,933,5.6,21
2009/2010,All Health Authorities,All Facilities,D&C and Related Surgery,776,4078,3.9,14.4
2009/2010,All Health Authorities,All Facilities,Dental Surgery,1317,2409,8.1,30.1
2009/2010,All Health Authorities,All Facilities,Endarterectomy,132,626,3.3,12.4
2009/2010,All Health Authorities,All Facilities,Esophagectomy,6,82,2.6,5.7
2009/2010,All Health Authorities,All Facilities,Examination Under Anaesthetic,93,385,3.4,12.7
2009/2010,All Health Authorities,All Facilities,Excision Gynecomastia,78,186,7.2,42.3
2009/2010,All Health Authorities,All Facilities,Facial Bone Reconstruction,329,713,4.1,38.1
2009/2010,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1282,3798,5.7,20.4
2009/2010,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,37,140,4.7,21.4
2009/2010,All Health Authorities,All Facilities,Foot/Ankle Surgery,277,571,6,39.4
2009/2010,All Health Authorities,All Facilities,Fracture Repair,254,1263,0.4,10
2009/2010,All Health Authorities,All Facilities,Free Flap Graft,31,130,2.9,13.5
2009/2010,All Health Authorities,All Facilities,Hand/Wrist Surgery,753,2032,6.1,24
2009/2010,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4100,10244,7.1,27.4
2009/2010,All Health Authorities,All Facilities,Hernia Repair - Hiatal,148,162,9.8,38.5
2009/2010,All Health Authorities,All Facilities,Hip Replacement,1646,4483,10.6,28.6
2009/2010,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,445,1099,3.3,10.9
2009/2010,All Health Authorities,All Facilities,Knee - ACL Repair,720,1579,8.9,29.3
2009/2010,All Health Authorities,All Facilities,Knee - Meniscectomy,7,11,6.1,21.9
2009/2010,All Health Authorities,All Facilities,Knee Arthroscopy,3418,8743,6.4,29.4
2009/2010,All Health Authorities,All Facilities,Knee Replacement,3316,6465,12.1,36.1
2009/2010,All Health Authorities,All Facilities,Laparoscopy,502,2119,4.6,16.1
2009/2010,All Health Authorities,All Facilities,Laparotomy,63,508,2.6,10.1
2009/2010,All Health Authorities,All Facilities,Laryngoscopy,95,543,2.9,10.1
2009/2010,All Health Authorities,All Facilities,Lens & Vitreous (non-cataract) Surgery,451,2635,1.6,13.3
2009/2010,All Health Authorities,All Facilities,Ligament Surgery,53,152,7.1,25
2009/2010,All Health Authorities,All Facilities,Lipectomy,39,140,6.3,28.2
2009/2010,All Health Authorities,All Facilities,Lung Surgery,32,393,2.6,5
2009/2010,All Health Authorities,All Facilities,Male Reproductive Surgery,352,846,6.4,22.1
2009/2010,All Health Authorities,All Facilities,Mastectomy,365,3775,1.9,5.6
2009/2010,All Health Authorities,All Facilities,Mastoidectomy,108,238,9.6,38.9
2009/2010,All Health Authorities,All Facilities,Nasal Surgery,1954,2694,10.4,41.4
2009/2010,All Health Authorities,All Facilities,Nerve Surgery,582,945,6.6,34.9
2009/2010,All Health Authorities,All Facilities,Other Eye Surgery,1002,2805,5,29.5
2009/2010,All Health Authorities,All Facilities,Other Joint Reconstruction,646,1125,8.6,41.2
2009/2010,All Health Authorities,All Facilities,Other Orthopaedic Surgery,2382,5639,6,30
2009/2010,All Health Authorities,All Facilities,Other Urology Surgery,496,2381,3.6,13.3
2009/2010,All Health Authorities,All Facilities,Parotidectomy,111,311,5.3,22.1
2009/2010,All Health Authorities,All Facilities,Prostate Surgery,1392,5104,4.9,19.5
2009/2010,All Health Authorities,All Facilities,Rectal Surgery,822,1556,7.1,27.7
2009/2010,All Health Authorities,All Facilities,Rib Resection,50,50,27.4,68.9
2009/2010,All Health Authorities,All Facilities,Scope of Chest,65,576,1.7,5.6
2009/2010,All Health Authorities,All Facilities,Shoulder Surgery,2043,2850,10.3,41.9
2009/2010,All Health Authorities,All Facilities,Shunt Insertion/Removal,15,83,1.9,8.1
2009/2010,All Health Authorities,All Facilities,Sinus Surgery,1172,1474,11.1,44.6
2009/2010,All Health Authorities,All Facilities,Skin Surgery,108,470,2.7,14
2009/2010,All Health Authorities,All Facilities,Skin Tumour Removal,694,2690,3.4,17.4
2009/2010,All Health Authorities,All Facilities,Sphincterotomy,81,190,4,21.6
2009/2010,All Health Authorities,All Facilities,Spinal/Back Surgery,1583,3196,6.1,30.1
2009/2010,All Health Authorities,All Facilities,Tendon Surgery,205,609,1.9,23.1
2009/2010,All Health Authorities,All Facilities,Thoracotomy,19,188,3,5.3
2009/2010,All Health Authorities,All Facilities,Thyroidectomy,319,1260,4.9,16.2
2009/2010,All Health Authorities,All Facilities,Tonsillectomy/Adenoidectomy,861,1181,11.3,36.1
2009/2010,All Health Authorities,All Facilities,Tympanoplasty,324,440,11.3,46.5
2009/2010,All Health Authorities,All Facilities,Uterine Surgery,2384,8933,5,19.7
2009/2010,All Health Authorities,All Facilities,Vaginal Repair,600,1265,9.4,36.4
2009/2010,All Health Authorities,All Facilities,Varicose Veins Ligation/Stripping,1699,1170,10,58.9
2009/2010,All Health Authorities,All Facilities,Vascular Bypass Graft - Non Cardiac,211,677,4,17.8
2009/2010,All Health Authorities,All Facilities,Vascular Surgery - Other,305,1426,2.4,12.9
2009/2010,All Health Authorities,All Facilities,Wound/Laceration Care,355,1132,2.9,18.3
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Abdominoplasty,11,,45.7,47.2
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,All Other Procedures,163,441,5.9,21.7
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,All Procedures,2273,4781,7.3,30.1
2009/2010,Fraser,Abbotsford Regional Hospital and Cancer Centre,Aortic Aneurysm Repair,18,14,5.1,12.1
